4510;Equipo;Equipo durante el período seleccionado;Posición específica;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %
V. N'Simba;Bordeaux;Bordeaux;LB, RB, LWB;30;2000000;2024-06-30;20;1662;0;0,45;1;3,47;19,39;50;Angola;Angola, Congo DR;izquierdo;169;69;no;9,86;7,31;62,96;1,68;45,16;1,08;1,64;0,16;4,17;6,31;1,08;2;0,11;0;0;3,41;0;0;0;0,02;0;0;11;0,6;27,27;0;0,05;4,49;33,73;3,47;34,38;1,03;31,58;0,38;3,41;44,44;7,74;36,36;1,19;2,06;0,43;2,92;1,35;43,92;75,34;13,81;68,24;4,6;95,29;18,52;78,36;34,55;83,7;4,98;53,26;21,63;33,05;0,19;1,3;0;0;0,38;57,14;0,81;6,17;55,26;5,04;39,78;1,25;34,78;0,87;1,52;10,23;80,95;0,22;0,05;100;0,65;0;0
Y. Koné;RWD Molenbeek;RWD Molenbeek;LCB, LWB, LB;28;1800000;2024-06-30;10;702;0;0;0;0,13;14,87;59,48;Mali;Mali;izquierdo;174;71;no;9,87;7,31;61,4;2,69;42,86;0;0;0,13;5,38;6,15;0,77;4;0,51;0;0;1,28;0;0;0;0;0;0;1;0,13;0;0;0;1,28;10;1,28;10;0;0;0;1,41;81,82;2,82;72,73;0,26;0,51;0;0,51;0,77;39,87;77,81;16,54;67,44;5,64;93,18;12,95;83,17;32,69;85,88;5,9;47,83;22,24;32,96;0,02;0,13;0;0;0,13;0;0;6,15;60,42;1,92;26,67;0,77;33,33;0,38;0,13;7,82;50,82;0;0;0;0,13;0;0
S. Ojo;Kortrijk;Kortrijk;LB, RWF, RW;26;1800000;2024-06-30;23;1731;1;2,74;0;1,32;23,6;48,46;England;England, Nigeria;izquierdo;179;64;si;6,24;5,2;58;1,92;43,24;0,78;0,91;0,1;2,44;2,86;0,57;2;0,1;0;0;7,38;0,05;1;0,05;0,14;0;0;34;1,77;38,24;2,941;0;3,9;30,67;2,29;22,73;1,61;41,94;0,57;9,1;60;14,45;47,84;2,34;4,06;2,24;0,62;2,03;29,17;77,01;7,85;76,82;5,93;91,23;8,84;75,29;23,66;86,15;1,92;54,05;19,13;27,88;0,07;0,57;0;0;0,26;20;0,31;2,65;76,47;3,17;50,82;0,31;33,33;0,78;1,09;4,68;71,11;0,47;0,1;0;1,09;0;0
Carlos Clerc;Elche;Elche;LB, LCB;31;1800000;2024-06-30;26;2496;0;0,37;1;1,03;17,07;65,1;Spain;Spain;izquierdo;182;72;no;11,37;8,63;73,73;2,19;65;0,04;0,05;0,15;4,97;7,31;1,1;4;0,14;1;0,04;1,86;0;0;0;0,01;0;0;5;0,18;0;0;0,04;1,94;22,64;1,9;23,08;0;0;0,22;1,72;80,85;3,8;53,85;0,22;1,72;1,02;0,84;0,8;52,16;83,18;23,32;76,18;6,1;98,8;17,29;86,89;43,14;91,78;7,24;46,97;21,6;40,99;0,04;0,44;0;0;0,11;33,33;0,18;8,77;70;2,3;28,57;0,55;26,67;0,22;0,4;10,53;76,39;0,04;0;0;0;0;0
T. Mohr;Schalke 04;Schalke 04;LCMF, LB, LW;28;1800000;2025-06-30;15;999;1;0,98;1;1,47;15,68;41,38;Germany;Germany;izquierdo;182;78;no;8,2;6,49;48,61;1,08;25;0,36;0,48;0,27;4,68;6,24;1,35;0;0;0;0;3,33;0,09;1;0,09;0,09;0;0;21;1,89;38,1;4,762;0,09;4,23;29,79;3,96;29,55;0,18;0;0,45;2,61;48,28;5,68;34,92;1,08;1,53;0,72;0,36;0,54;35,32;73,21;13,51;68,67;4,68;88,46;12,43;77,54;27,03;83,67;4,14;50;22,45;34,42;0,13;1,35;0;0,18;0,27;33,33;0,36;6,04;64,18;3,69;46,34;0,9;40;0,45;1,44;9,19;79,41;0,9;0,18;50;2,07;0;0
Rafa Soares;PAOK;PAOK;LB;28;1800000;2025-06-30;15;1262;2;1,22;1;1,17;10,48;41,5;Portugal;Portugal;izquierdo;177;72;no;5,92;3,64;60,78;1,5;47,62;0;0;0,21;3,71;5,8;0,93;2;0,14;0;0;1,85;0,14;2;0,14;0,09;0;0;9;0,64;55,56;22,222;0,07;3,07;30,23;3;28,57;0,07;100;0,36;1,21;47,06;3,64;21,57;3,21;1,71;0,43;3,07;0,21;53,06;84,54;19,26;78,15;12,34;95,95;13,19;81,62;46,21;91,36;4,14;43,1;17,35;32,07;0,08;0,57;0,07;0;0;0;0,36;4,64;73,85;2,14;46,67;0,07;0;0,57;0,93;8,91;67,2;0;0;0;0,5;0;0
Sergio Escudero;Real Valladolid;Real Valladolid;LB;34;1800000;2024-06-30;23;1968;1;2,3;0;1,89;14,5;50,79;Spain;Spain;izquierdo;178;70;no;9,47;6,54;55,24;2,93;56,25;0,73;1,11;0,09;5,12;7,78;0,91;7;0,32;0;0;1,28;0,05;1;0,05;0,11;0;0;36;1,65;30,56;2,778;0;1,51;30,3;1,37;30;0,14;33,33;0;0,73;43,75;2,61;38,6;1,1;0,87;0,32;1,01;0,91;44,63;80,64;15,59;66,28;7,09;97,42;13,72;87;37,04;89,51;6,27;38,69;19,28;34,37;0,09;0,91;0,05;0;0,09;0;0,23;6,04;60,61;1,88;39,02;0,59;7,69;0,23;0,5;7,23;68,35;0,82;0,18;25;1,1;0;0
M. Mohammadi;Adana Demirspor;Adana Demirspor;LB;30;1800000;2024-06-30;18;1350;1;0,81;0;1,16;21,53;50,15;Iran;Iran;izquierdo;177;70;no;9,73;9,07;61,03;3,33;50;0;0;0,27;4,2;7,62;1;2;0,13;0;0;3,07;0,07;1;0,07;0,05;1;0,07;10;0,67;40;10;0;3,13;27,66;2,93;25;0,13;50;0,2;3;64,44;6,73;35,64;1,27;1,2;0,67;2,4;0,67;41,93;79,97;17,8;73,41;7,6;97,37;11,47;80,81;34,53;88,42;4,47;49,25;19,37;33,56;0,08;0,4;0,13;0;0,13;0;0,2;4,6;73,91;2,8;28,57;0,2;0;0,4;0,8;8,07;66,94;0,07;0;0;0;0;0
M. Valenzuela;Lugano;Lugano;LB, LWB;25;1700000;2025-06-30;10;759;1;0,04;0;0,21;16,48;52,52;Argentina;Argentina;izquierdo;170;64;no;8,77;6,28;67,92;1,66;28,57;0,12;0,17;0,36;4,39;6,31;1,07;3;0,36;0;0;2,49;0,12;1;0,12;0;0;0;1;0,12;100;100;0;1,78;40;1,78;40;0;0;0,12;2,96;48;6,17;42,31;0,12;1,66;1,19;2,25;0,71;48,74;79,56;22,53;74,21;5,69;93,75;14,82;88;39,72;85,37;7,35;56,45;20,41;37,7;0,02;0,59;0;0;0,47;50;0,47;7,94;67,16;1,9;56,25;0,59;20;0,36;0,71;11,15;75,53;0,12;0;0;0;0;0
N. Murru;Sampdoria;Sampdoria;LCB, LB;29;1600000;2024-06-30;17;1625;1;0,87;0;0,4;13,9;61,35;Italy;Italy;izquierdo;180;74;no;8,81;5,76;60,58;3,82;68,12;0,39;0,55;0,39;4,93;6,94;1,44;4;0,22;0;0;0,72;0,06;1;0,06;0,05;0;0;8;0,44;12,5;12,5;0;0,61;54,55;0,61;54,55;0;0;0;0,55;60;1,66;60;0,66;0,78;0,22;0,72;0,89;47,08;89,76;19,16;81,5;3,27;96,61;19,99;97,23;41,93;94,19;4,54;53,66;19,84;35,62;0,02;0,22;0;0;0,06;0;0,11;4,26;72,73;0,78;64,29;0,28;0;0,11;0,28;7,75;72,86;0;0;0;0,06;0;0
J. Sýkora;Viktoria Plze?;Viktoria Plze?;LWB, LB;30;1600000;2025-06-30;17;871;0;1,99;0;1,69;16,95;43,9;Czech Republic;Czech Republic;izquierdo;171;64;no;5,37;6,2;53,33;1,86;22,22;0,21;0,37;0,1;1,86;3,31;1,45;3;0,31;0;0;3,72;0;0;0;0,21;0;0;17;1,76;23,53;0;0;4,03;41,03;3;37,93;0,83;50;0,41;3,41;48,48;6,3;40,98;2,27;1,24;0,93;1,55;1,14;33,07;78,44;12,19;72,88;6,82;95,45;10,23;76,77;26,35;87,06;2,89;50;16,11;16,69;0,17;1,34;0;0;0;0;0,52;4,75;78,26;3,51;52,94;0,31;33,33;0,52;1,65;6,72;78,46;0,62;0;0;1,96;0;0
O. Deman;Werder Bremen;Werder Bremen;LWB, LB;23;1600000;2024-06-30;21;1537;1;1,69;1;1,09;18,74;54,37;Belgium;Belgium;izquierdo;181;74;no;11,13;8,02;62,04;2,81;54,17;0,76;0,93;0,35;5,39;6,57;1,52;4;0,23;0;0;2,52;0,06;1;0,06;0,1;1;0,06;18;1,05;16,67;5,556;0,06;2,52;32,56;2,52;32,56;0;0;0,06;2,34;62,5;4,51;45,45;1,93;0,82;0,18;1,58;0,76;34,08;76,98;11,95;66,67;7,67;95,42;9,9;78,11;26,99;85,47;4,63;50,63;19,85;36,23;0,06;0,94;0;0;0,06;100;0,59;3,92;64,18;2,46;50;0,59;50;0,59;0,82;8,55;65,75;0;0;0;0,06;0;0
J. Barrett Laursen;Häcken;Häcken;LB;29;1500000;2025-06-30;16;575;0;0,19;0;0,35;15,81;41,58;Denmark;Denmark;izquierdo;179;77;no;6,57;4,54;48,28;2,82;44,44;0,31;0,41;0,31;4,07;5,31;0,78;1;0,16;0;0;2,19;0;0;0;0,03;0;0;4;0,63;25;0;0;3,6;21,74;3,6;21,74;0;0;0,47;2,5;43,75;6,1;38,46;0,78;1,88;0,47;1,72;0,78;40,54;82,24;13,3;80;7,51;95,83;10,96;78,57;34,75;90,54;2,5;56,25;18,16;19,58;0,05;0,47;0;0;0,47;33,33;0,16;3,44;81,82;2,66;35,29;0,31;50;0,47;0,78;5,95;73,68;0;0;0;0;0;0
Adrián Marín;Sporting Braga;Sporting Braga;LB;27;1500000;2024-06-30;16;982;0;0,35;0;0,72;15,03;53,66;Spain;Spain;izquierdo;181;73;no;9,53;7,06;55,84;3,48;60,53;0,55;0,87;0,18;5,04;7,97;0,92;1;0,09;0;0;1,83;0;0;0;0,03;0;0;5;0,46;20;0;0;2,84;25,81;2,84;25,81;0;0;0,09;1,65;61,11;3,21;45,71;1,65;0,82;0;1,65;0,73;43,99;81,25;16,59;76,8;7,42;93,83;11,91;80;37,3;86,73;4,12;64,44;19,7;26,77;0,07;0,82;0;0,09;0,09;0;0,64;5,04;78,18;2,29;52;0,27;66,67;0,55;0,55;10,08;77,27;0;0;0;0,09;0;0
E. Ouma Otieno;Raków Cz?stochowa;Raków Cz?stochowa;LB, LW;27;1500000;2024-12-21;18;1677;1;1,03;1;1,9;18,62;51,01;Kenya;Kenya;izquierdo;170;70;no;7,25;4,88;63,74;1,61;36,67;0,11;0,14;0,38;4,03;5,1;1,29;4;0,21;0;0;3,86;0,05;1;0,05;0,06;1;0,05;14;0,75;35,71;7,143;0,05;3,22;26,67;3,11;25,86;0,11;50;0,48;4,51;59,52;9,55;51,12;1,45;3,76;2,52;2,58;1,45;35,47;81,69;8;65,1;9,77;97,25;13,15;79,59;29,03;91,68;3,33;45,16;19,79;33,91;0,1;0,48;0,05;0;0,16;33,33;0,38;2,47;65,22;2,79;32,69;0,48;22,22;0,32;0,86;4,83;58,89;0;0;0;0;0;0
N. Dyhr;Midtjylland;Midtjylland;LB, LWB;22;1500000;2024-12-31;19;647;0;0,03;0;0,96;12,94;61,29;Denmark;Denmark;izquierdo;177;66;no;7,37;5,98;72,09;2,64;36,84;0,42;0,58;0;2,64;3,7;0,42;1;0,14;0;0;1,39;0;0;0;0;0;0;1;0,14;0;0;0;2,78;40;2,64;42,11;0,14;0;0,56;0,7;40;2,78;60;0,56;0,42;0,14;1,25;1,67;28,93;77,88;12,8;70,65;6,12;97,73;5,98;76,74;22,81;87,8;3,48;40;18,01;21,54;0,13;0,7;0;0;0;0;0,56;4,45;75;1,95;50;0,42;66,67;0,28;1,11;6,82;69,39;0;0;0;0,7;0;0
Hugo;Botafogo;Botafogo;LB, LWB;22;1500000;2024-12-31;7;625;0;0,22;3;1,98;16,56;57,39;Brazil;Brazil;izquierdo;175;67;no;9,94;8,64;66,67;2,3;37,5;0,29;0,43;0;3,89;5,87;1,87;0;0;0;0;2,74;0;0;0;0,03;0;0;5;0,72;0;0;0,43;3,89;29,63;3,89;29,63;0;0;0;2,45;58,82;4,03;53,57;1,58;1,58;1,01;2,45;0,86;35,71;75,81;9,07;68,25;5,9;95,12;12,1;73,81;28,94;82,59;3,31;69,57;17,8;39,06;0,29;1,87;0,14;0;0,43;33,33;0,43;3,6;80;3,46;33,33;0,29;50;0,86;0,72;6,48;75,56;1,58;0,14;0;1,58;0;0
F. Calvo;Juárez;Juárez;LCB, LB;31;1500000;2024-06-30;28;2613;1;2,48;0;1,16;15,27;59,91;Costa Rica;Costa Rica;izquierdo;180;79;no;9,78;5,91;67,06;4,45;57,03;0,42;0,54;0,45;5,39;6,98;0,73;10;0,34;0;0;1,04;0,03;1;0,03;0,09;1;0,03;18;0,63;22,22;5,556;0;0,24;42,86;0,21;33,33;0,03;100;0,03;1,08;70,97;2,4;55,07;1,29;0,52;0,24;0,56;0,63;48,95;86,78;23,13;79,85;2,54;93,15;18,54;95,5;42,41;91,63;6,3;55,8;21,89;42,01;0,04;0,21;0;0;0,1;33,33;0,03;6,4;66,85;0,77;22,73;0,31;33,33;0,14;0,1;10,61;76,07;0;0;0;0;0;0
A. Mayorga;Necaxa;Necaxa;LB;26;1500000;2024-12-31;13;756;0;0,34;0;0,12;14,29;45,83;Mexico;Mexico;izquierdo;178;71;no;8,93;7,5;49,21;1,43;75;0,6;0,74;0,36;4,64;5,79;0,95;2;0,24;0;0;1,9;0;0;0;0,04;0;0;6;0,71;50;0;0;2,14;44,44;2,14;44,44;0;0;0,12;1,31;45,45;3,81;37,5;0,83;1,07;0,71;0,95;0,36;32,5;76,56;16,43;71,01;3,81;90,63;6,43;79,63;27,02;82,82;3,33;46,43;16,55;26,39;0,01;0,24;0,12;0;0,12;0;0;5,12;62,79;2,26;57,89;0,48;50;0,6;0,83;8,57;69,44;0,12;0;0;0,12;0;0
B. Riveros;Talleres Córdoba;Talleres Córdoba;LB, LWB;26;1500000;2024-06-30;30;2373;0;1,24;1;2,13;15,21;50,87;Paraguay;Paraguay;izquierdo;178;68;no;7,43;5,61;56,08;1,48;53,85;0,15;0,2;0,23;4,13;5,41;0,38;1;0,04;0;0;3,26;0;0;0;0,05;0;0;32;1,21;15,63;0;0,04;2,96;37,18;2,96;37,18;0;0;0,34;3,64;54,17;5,88;48,39;1,14;2,39;1,21;2,05;0,8;37,36;78,68;13,58;72,91;6,71;94,92;10,51;77,26;30,76;85,45;3,79;55;18,4;35,84;0,08;0,53;0;0,04;0,15;0;0,27;4,21;66,67;2,92;45,45;0,53;28,57;0,53;1,1;7,4;70,77;0,04;0;0;0,23;0;0
A. Terzi?;Salzburg;Salzburg;LB;24;1500000;2024-06-30;11;913;0;0,08;0;1,2;14,1;46,85;Serbia;Serbia;izquierdo;184;79;no;6,11;4,93;58;1,77;55,56;0,2;0,34;0;3,06;5,31;0,49;0;0;0;0;4,53;0;0;0;0,01;0;0;5;0,49;0;0;0;6,9;40;6,8;39,13;0;0;0,49;3,06;54,84;5,42;41,82;0,69;2,56;1,28;2,56;1,08;45,64;76,89;15,08;75,16;7,69;96,15;15,58;74,68;34,5;86,86;4,34;54,55;20,82;35,3;0,12;0,99;0;0;0,2;50;0,49;5,32;62,96;6,31;46,88;0,3;33,33;0,79;2,56;10,05;81,37;0;0;0;0,1;0;0
K. Lund;Palermo;Palermo;LB;21;1500000;2024-12-31;33;2638;0;0,53;5;5,52;19,14;53,65;Denmark;Denmark, United States;izquierdo;184;65;no;9,31;7,54;63,8;3,55;38,46;0,14;0,18;0,2;4,37;5,89;0,72;3;0,1;0;0;3,38;0;0;0;0,02;0;0;7;0,24;28,57;0;0,17;4,16;33,61;4,09;34,17;0,03;0;0,68;2,8;67,07;5,83;53,22;1,71;2,08;0,78;3,07;1,02;42,24;82,31;12,25;73,26;8,19;97,08;13,99;81,22;35,28;90,62;2,97;50,57;18,12;29,91;0,19;1,06;0,03;0;0,07;50;0,48;3,82;78,57;3,51;43,69;0,34;40;0,58;1,4;7,61;73,09;0;0;0;0;0;0
D. Guindo;Salzburg;Salzburg;LB;21;1500000;2025-05-31;8;472;0;0,24;1;0,36;14,53;48,05;Mali;Mali;izquierdo;183;66;no;7,55;5,28;60,71;2,45;38,46;0,57;0,86;0;3,77;5,71;1,32;2;0,38;0;0;2,26;0;0;0;0,04;0;0;2;0,38;0;0;0,19;3,4;33,33;3,4;33,33;0;0;0,19;2,45;38,46;3,77;40;1,32;0,57;0,38;2,83;0,19;43,4;75,65;19,43;69,9;6,98;91,89;11,7;77,42;34,53;81,42;5,66;63,33;20,86;32,17;0,07;0,38;0;0;0,38;50;0,57;6,79;69,44;3,4;38,89;0,57;33,33;0,38;0,94;12,83;75;0;0;0;0,19;0;0
Sidcley;Lamia;Lamia;LB, LW;30;1500000;2024-12-31;16;1042;1;1,55;0;0,97;21,77;57,94;Brazil;Brazil;izquierdo;176;70;no;8,72;4,84;75;2,42;57,14;0,17;0,21;0,17;4,92;6,06;0,43;2;0,17;0;0;3,71;0,09;1;0,09;0,13;0;0;10;0,86;40;10;0;0,95;45,45;0,95;45,45;0;0;0,09;4,4;66,67;11,92;53,62;1,38;1,9;0,69;0,69;3,02;31,35;84,57;12,01;76,98;5,1;93,22;9,41;87,16;27,38;88,96;3,02;57,14;16,11;21,05;0,08;0,6;0,26;0,17;0;0;0,17;1,64;57,89;1,21;50;0;0;0,35;0,52;5,96;65,22;0,26;0;0;0;0;0
Cote;Sporting Gijón;Sporting Gijón;LB, LWB;34;1500000;2024-06-30;23;1971;1;1,12;4;3,52;14,79;48,77;Spain;Spain;izquierdo;182;74;no;8,26;5,71;54,4;1,69;62,16;0,27;0,4;0,14;4,89;7,1;0,59;5;0,23;0;0;2,6;0,05;1;0,05;0,05;0;0;18;0,82;27,78;5,556;0,18;4,25;27,96;4,06;28,09;0,18;25;0,91;2,1;52,17;4,79;38,1;0,73;1,74;0,59;2,83;0,37;43,74;83,4;10,46;73,36;10,18;97,31;15,89;78,74;35,71;93,35;4,38;50;20,06;35,56;0,16;1,28;0;0,05;0,14;66,67;0,27;2,92;67,19;4,29;38,3;0,59;53,85;0,59;1,1;6,67;69,86;1,6;0,27;50;3,15;0;0
V. Barco;Brighton;Brighton;LB, LW, LCMF;19;1500000;2024-12-31;41;3248;1;2,56;5;5,55;26,58;46,06;Argentina;Argentina;izquierdo;172;64;no;8,81;7,43;62,18;1,53;34,69;1,28;2,14;0,06;2,91;4,86;1,09;12;0,33;0;0;5,25;0,03;1;0,03;0,08;0;0;31;0,97;35,48;3,226;0,16;4,03;24,03;3,84;22,76;0,19;50;0,41;7,53;46,47;14,56;40,56;1;2,87;1,28;1,41;2,47;44,23;76,06;15,87;67,91;6,5;91,83;12,84;76,89;35,89;85,73;4,5;43,06;18,55;34,95;0,17;1,25;0,03;0;0,97;45,16;0,47;6,72;60;4,97;36,48;1,78;31,58;1,09;0,87;7,68;78,86;1,53;0,22;42,86;2;0;0
Leonardo Lelo;Casa Pia AC;Casa Pia AC;LB, LWB;23;1500000;2025-06-30;24;2211;0;0,5;1;1,73;12,46;51,63;Portugal;Portugal;izquierdo;175;70;no;8,02;5,94;56,85;1,18;48,28;0,2;0,25;0,16;4,44;5,35;0,45;2;0,08;0;0;1,67;0;0;0;0,02;0;0;9;0,37;0;0;0,04;1,95;27,08;1,79;25;0,12;33,33;0,2;2,08;49,02;4,07;47;0,73;1,83;0,45;1,55;1,1;32,44;75,53;11,89;63,01;7,08;91,95;8,75;78,6;26,99;82,96;3,58;44,32;18,57;32,18;0,07;1,06;0;0;0,61;20;0,33;4,07;53;2,44;38,33;1,1;22,22;0,45;0,69;6,68;59,76;0,45;0,04;0;1,79;0;0
N. Gavory;Fortuna Düsseldorf;Fortuna Düsseldorf;LB;28;1500000;2025-06-30;17;1295;0;0,53;2;2,16;12,22;56,32;France;France;izquierdo;183;79;no;6,25;5,05;61,11;2,6;67,57;0,07;0,09;0,28;3,09;3,92;0,7;3;0,21;0;0;2,32;0;0;0;0,04;0;0;11;0,77;9,09;0;0,14;4,14;42,37;4,14;42,37;0;0;0,28;0,7;70;2,81;42,5;0,56;2,25;1,26;2,6;0,49;39,73;82,51;13,9;73,74;9,9;99,29;11,09;78,48;32,5;90,71;3,44;48,98;19,11;28,99;0,15;1,05;0;0;0;0;0,49;4,21;76,67;3,58;49,02;0,21;0;0,14;1,83;8,14;80,17;0,21;0;0;1,19;0;0
N. Bancu;Universitatea Craiova;Universitatea Craiova;LB;31;1500000;2024-06-30;30;2953;2;0,52;7;5,27;15,97;53,24;Romania;Romania;izquierdo;178;65;no;9,39;7,13;58,12;1,25;41,46;0,34;0,52;0,24;4,91;7,61;1,16;9;0,27;0;0;3,78;0,06;2;0,06;0,02;0;0;16;0,49;25;12,5;0,21;4,11;35,56;4,05;35,34;0;0;0,49;3,17;60,58;5,36;52,27;1,65;2,59;0,7;2,56;0,79;57,02;79,21;20,3;69,97;7,95;90,42;19,26;83,86;45,72;86,4;7,35;57,68;19,32;36,85;0,16;1,37;0,03;0,09;0,52;52,94;0,91;8,26;69,74;5;50;1,28;40,48;1,37;1,46;11,49;74,54;0,06;0;0;0,09;0;0
D. Köhn;Hannover 96;Hannover 96;LWB, LB;25;1500000;2025-06-30;21;1994;3;2,11;5;3,71;18,46;52,08;Germany;Germany, Ghana;izquierdo;180;73;no;6,54;3,75;77,11;1,58;45,71;0,09;0,13;0,05;3,57;5;0,5;3;0,14;0;0;5,19;0,14;3;0,14;0,1;0;0;34;1,53;38,24;8,824;0,23;4,06;25,56;3,93;25,29;0,09;50;0,77;5,73;61,42;10,52;48,07;2,39;1,99;0,77;2,08;1,35;24,06;72,42;5,64;67,2;6,54;93,79;7,54;61,68;16,97;84,57;3,39;61,33;19,44;27,74;0,17;1,4;0;0;0,14;33,33;0,5;1,13;80;2,84;42,86;0,36;75;0,77;1,26;5,55;61,79;0,86;0,05;0;1,72;0;0
M. Muheim;Hamburger SV;Hamburger SV;LB;25;1500000;2025-06-30;20;1872;3;1,07;2;1,3;16,63;58,38;Switzerland;Switzerland;izquierdo;182;77;no;10,43;7,16;67,79;2,26;61,7;0,29;0,44;0,34;5,29;8,05;1,3;5;0,24;1;0,05;2,6;0,14;3;0,14;0,05;0;0;25;1,2;36;12;0,1;2,93;37,7;2,69;39,29;0,24;20;0,63;1,25;69,23;3,94;51,22;0,34;3,08;0,96;0,53;1,39;60,87;83,49;24,81;74,22;8,17;95,29;19,09;88,41;53,46;89,84;4,76;37,37;17,36;38,45;0,06;0,67;0,05;0;0,58;33,33;0,34;10,38;71,76;4,62;43,75;1,15;16,67;0,91;1,15;10,77;77,68;0,05;0,05;100;0,53;0;0
J. Zelený;Sparta Praha;Sparta Praha;LWB, LB;31;1400000;2025-06-30;21;1554;0;1,21;1;0,71;15,98;51,45;Czech Republic;Czech Republic;izquierdo;190;81;no;6,43;5,1;60,23;4,29;51,35;0,41;0,58;0,06;2,95;4,23;0,93;3;0,17;0;0;2,03;0;0;0;0,07;0;0;8;0,46;50;0;0,06;0,93;37,5;0,93;37,5;0;0;0,12;2,49;53,49;4,11;47,89;2,26;1,56;0,35;1,8;0,58;28,9;75,75;10,19;60,23;5,97;94,17;7,99;81,88;25,42;79,95;2,55;47,73;19,08;27,76;0,04;0,35;0,06;0;0,29;40;0,23;3,53;59,02;1,27;54,55;0,58;40;0,52;0,41;4,81;62,65;0;0;0;0;0;0
M. Sala;Como;Como;LB, LWB;24;1400000;2024-06-30;15;957;0;1,28;0;0,61;13,54;45,14;Italy;Italy;izquierdo;177;72;no;7,62;6,68;54,93;2,35;32;0,66;0,94;0,19;3,29;4,71;0,75;1;0,09;0;0;2,16;0;0;0;0,12;0;0;5;0,47;0;0;0;3,2;29,41;3,2;29,41;0;0;0,09;2,16;56,52;3,67;41,03;1,03;1,5;0,19;1,79;0,28;34,89;75,47;13,92;70,27;7,52;95;8,18;72,41;27,37;85,22;4,42;48,94;21,62;32,07;0,06;0,56;0,09;0;0,28;0;0,47;3,01;71,88;2,45;46,15;0,38;0;0,38;0,85;7,62;69,14;0;0;0;0;0;0
R. Radunovi?;FCS Bucure?ti;FCS Bucure?ti;LB;31;1300000;2025-06-30;29;2828;1;0,46;1;1,58;13,08;57,18;Montenegro;Montenegro;izquierdo;183;77;no;9,2;7,13;67,86;0,8;44;0,06;0,09;0,29;4,3;5,89;0,95;5;0,16;0;0;1,56;0,03;1;0,03;0,01;0;0;10;0,32;30;10;0,03;2,04;34,38;2;34,92;0,03;0;0,25;1,11;65,71;3,37;47,17;0,83;0,86;0,22;1,91;0,45;44,01;80,77;20,53;76,74;5,63;89,83;10,44;84,45;37,2;87,25;4,87;50,33;18,08;33,53;0,05;0,41;0,06;0;0,1;33,33;0,13;4,71;68,24;2,2;50,72;0,25;37,5;0,83;0,57;9,17;70,49;0,29;0;0;0,86;0;0
N. Anti?;Partizan;Partizan;LB;29;1200000;2024-06-30;23;2171;0;0,84;0;1,22;11,61;47,86;Serbia;Serbia;izquierdo;178;75;no;7,46;5,06;61,48;2,32;39,29;0,17;0,22;0,08;4,19;5,55;0,54;1;0,04;0;0;1,91;0;0;0;0,03;0;0;18;0,75;11,11;0;0;3,44;33,73;3,36;32,1;0,08;100;0,29;1,12;55,56;2,94;33,8;1,16;1,37;0,41;2,9;0,41;41,58;76,37;17,08;66,02;6,18;97,99;13,76;79,82;32,05;85,64;6,3;50,66;20,73;32,48;0,05;0,54;0;0,04;0,25;16,67;0,29;6,01;64,14;3,86;47,31;0,54;23,08;0,75;1,2;10,74;71,81;0,29;0,12;0;0,46;0;0
